source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A08.4,45576230,UKB_DEATH_CAUSE_STCM,"Viral intestinal infection, unspecified",198678,SNOMED,2002-01-31,2099-12-31,
A32.1,45600407,UKB_DEATH_CAUSE_STCM,Listerial meningitis and meningoencephalitis,4077718,SNOMED,2002-01-31,2099-12-31,
B20.1,45542556,UKB_DEATH_CAUSE_STCM,HIV disease resulting in other bacterial infections,4092686,SNOMED,2002-01-31,2099-12-31,
C43.7,45566585,UKB_DEATH_CAUSE_STCM,"Malignant neoplasm: Malignant melanoma of lower limb, including hip",4151263,SNOMED,2002-01-31,2099-12-31,
C44.6,45600496,UKB_DEATH_CAUSE_STCM,"Malignant neoplasm: Skin of upper limb, including shoulder",4162994,SNOMED,2002-07-31,2099-12-31,
C49.0,45537817,UKB_DEATH_CAUSE_STCM,"Malignant neoplasm: Connective and soft tissue of head, face and neck",4118989,SNOMED,2002-01-31,2099-12-31,
C69.6,45566613,UKB_DEATH_CAUSE_STCM,Malignant neoplasm: Orbit,4180906,SNOMED,2002-01-31,2099-12-31,
C78.6,45547522,UKB_DEATH_CAUSE_STCM,Secondary malignant neoplasm of retroperitoneum and peritoneum,35226284,Cancer Modifier,2020-10-13,2099-12-31,
C78.7,45595688,UKB_DEATH_CAUSE_STCM,Secondary malignant neoplasm of liver and intrahepatic bile duct,35226180,Cancer Modifier,2020-10-13,2099-12-31,
C79.3,45561831,UKB_DEATH_CAUSE_STCM,Secondary malignant neoplasm of brain and cerebral meninges,36768862,Cancer Modifier,2020-09-23,2099-12-31,
C79.5,45571540,UKB_DEATH_CAUSE_STCM,Secondary malignant neoplasm of bone and bone marrow,35226074,Cancer Modifier,2020-10-13,2099-12-31,
C79.8,45547524,UKB_DEATH_CAUSE_STCM,Secondary malignant neoplasm of other specified sites,432851,SNOMED,2002-01-31,2099-12-31,
C80.0,45557017,UKB_DEATH_CAUSE_STCM,"Malignant neoplasm, primary site unknown, so stated",4149322,SNOMED,2002-01-31,2099-12-31,
E10.1,45542735,UKB_DEATH_CAUSE_STCM,"Type 1 diabetes mellitus, With ketoacidosis",439770,SNOMED,2006-07-31,2099-12-31,
E10.2,45586137,UKB_DEATH_CAUSE_STCM,"Type 1 diabetes mellitus, With renal complications",200687,SNOMED,2006-07-31,2099-12-31,
E10.5,45595796,UKB_DEATH_CAUSE_STCM,Type 1 diabetes mellitus with circulatory complications,318712,SNOMED,2006-07-31,2099-12-31,
E10.6,45537959,UKB_DEATH_CAUSE_STCM,"Type 1 diabetes mellitus, With other specified complications",442793,SNOMED,2002-01-31,2099-12-31,
E10.7,45571655,UKB_DEATH_CAUSE_STCM,"Type 1 diabetes mellitus, With multiple complications",435216,SNOMED,2006-07-31,2099-12-31,
E11.0,45576441,UKB_DEATH_CAUSE_STCM,"Type 2 diabetes mellitus, with coma",443735,SNOMED,2006-07-31,2099-12-31,
E11.1,45542739,UKB_DEATH_CAUSE_STCM,"Type 2 diabetes mellitus, with ketoacidosis",443734,SNOMED,2006-07-31,2099-12-31,
E11.2,45605400,UKB_DEATH_CAUSE_STCM,"Type 2 diabetes mellitus, with renal complications",443731,SNOMED,2006-07-31,2099-12-31,
